id,n_lines
413529,9
413529,8
413739,16
413884,6
414012,3
414139,6
414195,28
414302,31
414329,90
414453,13
414705,77
414713,18
414870,8
414870,10
414996,11
415291,28
415331,19
415440,3
415484,24
415637,2
415671,6
415708,8
415711,6
415713,22
415862,2
415862,2
415983,6
416316,13
416442,3
416442,5
416476,5
416496,17
416621,10
416692,22
416772,62
416808,31
416808,11
416866,5
417133,43
417133,23
417133,105
417549,6
417684,6
417696,160
417818,15
417920,9
417920,5
418096,5
418106,15
418187,8
418190,26
418190,28
418486,5
418504,32
418571,40
418583,9
418596,15
418666,165
418751,12
418845,4
419034,9
419060,14
419370,112
419553,2
419592,5
419690,11
419701,4
420090,3
420090,13
420094,32
420100,22
420217,27
420281,30
420379,8
420653,6
420653,3
420653,3
420700,33
420716,54
420876,14
420927,14
420957,34
422126,21
422127,9
422127,23
422150,10
422622,11
422750,7
422802,29
422802,23
422806,26
422865,28
423131,8
423285,44
423285,20
423291,10
423291,41
423291,42
423351,14
423458,30
423458,9
423595,2
423656,20
423668,2
423839,5
423839,5
424222,9
424621,56
424741,3
424770,3
424770,3
424837,17
424891,3
425092,4
425245,46
425355,22
425355,21
425485,7
425488,5
425554,44
425578,24
425587,2
425653,29
425671,3
425671,3
425705,5
425753,22
425782,8
425991,10
425991,9
425991,36
426250,9
426319,13
426357,55
426357,47
426357,19
426566,6
426632,4
426632,3
426750,7
426805,10
426832,25
426906,13
427004,3
427065,12
427065,8
427237,12
427238,97
427247,58
427296,48
427359,69
427365,46
427462,72
427462,4
427467,12
427558,28
427583,21
427601,10
427658,57
427782,5
427862,2
427868,10
428106,9
428110,9
428198,24
428198,10
428237,66
428470,53
428471,13
428523,4
428678,19
428678,50
428687,18
428687,26
428717,4
428790,24
428837,12
428842,2
428906,6
428906,10
429031,6
429053,6
429144,6
429144,19
429306,38
429382,9
429864,11
430007,13
430207,7
430246,10
430349,11
430429,35
430662,30
430978,11
431039,2
431039,41
431039,8
431042,6
431150,6
431170,2
431221,12
431230,32
431311,11
431432,38
431451,3
431507,6
431526,3
431526,3
431530,11
431530,6
431535,25
431586,71
431678,51
431807,16
431835,5
431955,34
431977,4
432051,14
432095,14
432097,15
432189,13
432241,6
432417,24
432739,2
433022,35
433129,21
433221,34
433286,9
433299,15
433400,5
433458,10
433615,56
433736,7
433873,18
434033,24
434039,11
434160,3
434429,4
434773,3
434773,5
434803,84
434905,23
434959,6
434995,14
435019,17
435079,30
435160,5
435263,3
435501,2
435501,43
435525,5
435525,4
435761,25
435849,6
436494,16
436546,3
436546,5
436649,16
436824,4
437125,11
437125,10
437219,6
437219,13
437221,6
437221,6
437596,3
437629,3
437683,9
437705,4
437705,5
437787,3
437825,4
437841,30
438124,8
438147,21
438200,3
438240,78
438308,5
438308,5
438521,3
438692,14
438875,2
438912,9
438962,18
439359,3
439508,24
439519,2
439613,21
440007,3
440050,14
440085,6
440441,9
440523,10
440597,23
441644,12
441665,4
441669,14
441762,22
441823,3
441835,5
442058,11
442058,4
442219,41
442252,22
442326,28
442326,2
442334,3
442334,4
442365,7
442367,14
442370,6
442399,17
442400,14
442400,16
442550,5
442699,16
442774,7
442806,29
442833,35
442869,8
442869,8
442884,11
442909,42
442954,41
443230,11
443244,14
443303,23
443346,11
443348,29
443412,66
443415,2
443422,3
443427,9
443428,51
443488,9
443550,22
443575,20
443657,39
443818,18
443911,2
443990,12
444078,28
444170,15
444274,8
444313,10
444408,8
444454,22
444454,5
444454,4
444454,2
444503,5
444508,19
444508,11
444510,41
444625,8
444693,5
444693,5
444753,29
444753,7
444795,29
444795,9
444815,2
444815,18
444828,11
444833,11
444940,2
444954,2
445148,6
445189,3
445190,10
445290,13
445390,18
445583,5
445629,14
445651,36
445728,14
445779,15
445801,22
445831,5
445831,4
445856,75
445906,12
445906,14
445939,23
445951,15
445993,19
446087,7
446165,13
446178,40
446178,5
446242,4
446242,4
446270,45
446306,114
446368,2
446583,8
446799,14
446855,5
446855,9
446901,60
446914,8
446933,15
446933,2
446989,5
447011,7
447061,60
448093,8
448162,3
448192,7
448193,7
448295,3
448310,6
448310,9
448357,3
448358,2
448389,5
448512,39
448515,11
448551,18
448624,2
448813,20
448813,10
448944,51
448965,7
449070,8
449070,8
449086,13
449139,2
449169,13
449190,32
449199,30
449209,56
449236,3
449251,2
449310,17
449389,8
449437,7
449461,7
449644,154
449665,9
449665,10
449665,11
450056,9
450177,36
450331,5
450331,6
450331,6
450453,4
450458,30
450468,3
450503,3
450558,36
450649,4
450851,2
450863,7
450979,63
451045,6
451080,9
451111,24
451111,5
451292,4
451294,8
451322,6
451334,6
451334,9
451373,15
451465,4
451741,17
451905,8
451929,21
452000,5
452088,2
452142,10
452202,7
452216,3
452269,25
452445,14
452463,6
452472,13
452640,7
452657,18
452816,12
452855,12
453165,12
453171,3
453174,6
453268,14
453318,3
453318,6
453984,52
454827,86
454878,7
454878,5
455019,3
455019,4
455237,22
455237,5
455237,5
455476,6
455483,8
455498,3
455767,28
455975,5
455975,5
456002,6
456460,59
456479,7
456620,5
456734,3
456760,6
456876,153
457016,22
457206,28
457281,3
457285,22
457453,69
457544,6
457672,6
457672,9
457681,12
457681,2
457681,4
457681,14
457681,4
457681,3
457787,2
457787,24
457788,4
457791,3
457801,17
457815,22
457847,10
457850,3
457859,16
457900,8
457905,10
457956,20
458006,28
458006,11
458023,8
458056,18
458114,64
458180,7
458353,13
458403,3
458636,203
458829,10
458854,7
458868,22
458876,5
458876,3
458877,4
459140,96
459140,18
459199,20
459210,6
459215,9
459274,32
459358,9
459405,43
459991,3
460076,5
460340,22
460360,3
460400,9
460409,2
460636,24
460636,3
460726,10
460759,7
460804,17
460804,25
460982,46
461018,38
461088,15
461159,3
461200,213
461255,2
461431,7
461431,5
461431,6
461436,6
461436,8
461440,8
461440,6
461440,3
461456,10
461465,10
461506,609
461605,20
461610,10
461719,31
461747,7
461862,26
461863,13
461913,3
461915,15
462024,35
462178,13
462215,20
462239,18
462239,8
462287,4
462287,49
462287,29
462373,71
462447,31
462491,45
462504,9
462508,15
462523,60
462523,12
462625,7
462625,3
462691,14
462747,11
462752,14
463285,5
463292,2
463402,5
463454,5
463469,4
463477,27
463493,2
463526,2
463527,11
463547,6
463548,2
463634,120
463636,23
463783,12
463783,2
463812,12
464186,2
464190,5
464232,12
464377,13
464377,16
464419,4
464419,6
464453,28
464517,2
464523,2
464653,3
464653,3
464653,3
464750,10
464871,3
464931,17
464932,5
464942,9
465049,2
465341,91
465488,11
465642,7
465893,8
466101,15
466169,9
466200,6
466245,4
466412,6
466576,58
466576,32
466677,12
466697,11
466758,10
466794,31
466801,41
466997,7
466997,23
467057,3
467209,8
467242,4
467696,8
467760,18
467860,11
467887,4
467901,10
467919,3
468028,20
468079,3
468085,16
468274,26
468299,37
468300,5
468509,40
468525,32
468543,20
468645,191
468811,24
468843,84
468843,6
469089,5
469089,10
469197,24
469224,7
469440,8
470073,174
470073,13
470087,3
470623,21
470662,5
470711,9
470745,41
470923,7
470923,2
471023,14
471278,3
471469,9
471630,10
471764,20
472130,7
472130,12
472235,13
472324,5
472355,14
472382,4
472458,18
473010,6
473068,10
473080,18
473449,39
473547,7
473599,4
473652,5
473666,3
474053,6
474287,14
474287,33
474401,8
474622,5
474710,2
474710,2
474710,2
474731,56
474739,4
474790,2
474884,15
474886,5
474987,7
474987,11
475067,10
475119,6
475268,2
475272,8
475522,7
475542,41
475542,16
475603,17
475603,2
475972,12
476019,17
476079,3
476087,7
476114,3
476128,14
476229,25
476229,10
476289,5
476289,10
476453,54
476483,43
476518,8
476588,8
476624,9
476624,12
476682,13
476682,21
476796,4
476812,22
476842,4
476842,41
476897,14
476993,46
476993,4
477060,17
477090,2
477111,6
477111,15
477275,11
477400,2
477426,11
477458,16
477616,5
477889,101
478135,18
478135,8
478136,14
478160,14
478295,9
478295,30
478374,3
478384,15
478434,18
478491,16
478597,13
479046,3
479201,5
479285,2
479386,7
479392,45
479392,2
479392,33
479392,30
479438,133
479532,2
479537,2
479551,18
479655,9
479655,39
479820,10
479846,647
479846,101
479934,6
479934,6
479934,3
479943,44
479943,70
479999,13
480222,5
480248,32
480463,15
480463,17
480957,42
481011,15
481040,5
481099,11
481127,8
481154,11
481154,26
481217,35
481240,6
481249,14
481446,21
481450,2
481460,10
481460,9
481460,6
481493,17
481497,93
481497,36
482036,6
482047,15
482073,2
482117,11
482165,14
482285,8
482321,6
482357,2
482704,13
482874,14
482964,28
482964,68
482964,7
483181,2
483309,19
483335,4
483354,7
483487,23
483713,6
483897,8
484044,17
484275,3
484358,5
484470,3
484470,4
484570,3
484595,8
484615,48
484726,21
484726,11
484726,36
484739,8
484847,30
484982,15
485027,19
485033,16
485033,45
485192,7
485360,11
485394,7
485394,5
485433,20
485670,25
485707,4
485814,58
485826,4
485839,20
486164,5
486164,2
486310,3
486317,10
486369,8
486516,5
486576,7
486772,4
486804,11
486869,24
486950,3
487027,7
487055,7
487060,6
487094,25
487129,23
487198,18
487266,8
487268,2
487268,4
487269,10
488131,17
488425,18
488452,15
488742,8
488754,16
488785,22
488845,28
489024,20
489186,9
489313,40
489394,33
489398,3
489588,5
489592,7
489699,15
489783,30
489799,48
489870,6
490113,3
490224,5
490399,26
490459,23
490482,29
490500,7
490734,101
490779,26
490858,5
490878,19
490947,11
490964,11
491040,18
491040,4
491040,21
491185,44
491236,60
491266,9
491290,22
491567,5
491740,3
491740,10
491987,21
492130,6
492172,26
492287,26
492297,19
492299,5
493534,47
493602,3
493806,6
494122,10
494144,12
494288,6
494441,2
494449,8
494449,3
494449,15
494553,10
