id,complexity,line_complexity
347,1,0.5
1344,1,0.25
3272,4,0.125
4041,1,0.03571428571428571
4041,1,0.125
4041,1,0.09090909090909091
6435,1,0.08333333333333333
6786,4,0.4
8770,3,0.075
8846,8,0.1038961038961039
8846,3,0.3333333333333333
12271,1,0.2
12271,2,0.2857142857142857
14224,3,1
14436,3,0.2
15090,3,0.3333333333333333
18156,4,0.10256410256410256
18156,5,0.06666666666666667
18156,1,0.14285714285714285
19433,2,0.3333333333333333
25018,1,0.16666666666666666
25617,1,0.3333333333333333
25780,1,0.05
25880,1,0.05555555555555555
26620,2,0.10526315789473684
32782,2,0.2857142857142857
36896,1,0.16666666666666666
40857,2,0.11764705882352941
41310,4,0.10810810810810811
45581,1,0.5
45581,1,0.25
45698,1,0.09090909090909091
46610,1,0.1
48812,2,0.11764705882352941
48862,1,0.3333333333333333
49054,3,0.06382978723404255
50487,5,0.19230769230769232
51698,3,0.2
52125,1,0.5
56411,2,0.4
56411,1,0.16666666666666666
56411,1,0.1
58389,2,0.2222222222222222
58425,1,0.25
58498,1,0.05555555555555555
58498,1,0.09090909090909091
59240,1,0.1
59240,1,0.2
60479,1,0.14285714285714285
63623,1,0.5
64974,3,0.09090909090909091
65867,1,0.3333333333333333
67277,1,0.25
67569,1,0.2
68139,1,0.5
68623,1,0.14285714285714285
68716,1,0.06666666666666667
70503,3,0.3333333333333333
70610,2,0.07407407407407407
71242,1,0.5
71441,1,0.25
72039,2,0.15384615384615385
72047,1,0.14285714285714285
72094,2,0.05263157894736842
72972,2,0.08333333333333333
73240,1,0.16666666666666666
73542,1,0.25
74316,1,0.3333333333333333
74316,2,0.18181818181818182
74350,2,0.05128205128205128
76035,1,0.125
76082,2,0.18181818181818182
76143,1,0.05263157894736842
77617,1,0.16666666666666666
79717,1,0.08333333333333333
80018,2,0.5
80340,3,0.06666666666666667
82827,2,0.0625
84248,2,0.09523809523809523
84523,1,0.0625
84523,1,0.3333333333333333
85204,1,0.2
85272,2,0.2857142857142857
86057,2,0.15384615384615385
89381,1,0.3333333333333333
94894,1,0.3333333333333333
96208,1,0.25
97590,2,0.11764705882352941
97879,1,0.2
98553,1,0.2
98553,2,0.6666666666666666
102226,2,0.3333333333333333
102636,1,0.3333333333333333
104052,1,0.25
104078,1,0.5
109526,1,0.5
109677,2,0.4
111250,1,0.3333333333333333
111449,2,0.6666666666666666
111449,3,0.42857142857142855
111845,1,0.25
113012,2,0.16666666666666666
114874,1,0.07692307692307693
115226,1,0.3333333333333333
117121,1,0.05
117291,1,0.07142857142857142
119098,1,0.125
119974,2,0.1
119974,1,0.5
120287,4,0.16666666666666666
122065,3,0.42857142857142855
124965,1,0.3333333333333333
125027,1,0.1111111111111111
125027,2,0.4
130813,1,0.125
134000,1,0.03333333333333333
134992,1,0.0625
136478,1,0.14285714285714285
137319,1,0.3333333333333333
141903,1,0.043478260869565216
142920,1,0.25
144004,2,0.09090909090909091
146184,2,0.3333333333333333
146266,2,0.18181818181818182
146462,1,0.3333333333333333
149503,4,0.25
149503,1,0.25
149842,1,0.2
149962,2,1
149962,3,0.75
150936,6,0.2727272727272727
152120,1,0.3333333333333333
152120,1,0.3333333333333333
152966,5,0.25
153936,1,0.1111111111111111
156255,2,0.6666666666666666
157532,3,0.1
157644,3,0.1875
159144,2,0.25
161065,1,0.07142857142857142
162217,11,0.026570048309178744
162443,1,0.3333333333333333
164589,2,0.3333333333333333
164678,1,0.5
165588,2,0.2
165588,2,0.2222222222222222
166869,1,0.1
167947,1,0.16666666666666666
167947,1,0.25
168696,1,0.041666666666666664
170161,3,0.2727272727272727
171186,2,0.5
171186,2,0.11764705882352941
