id,n_lines
384961,25
738688,26
679043,11
679063,9
1001623,6
786323,33
786330,21
786330,6
739187,6
739187,5
1109216,169
1109216,25
507814,84
507814,98
386628,34
622296,352
508036,3
679604,33
679604,45
786759,16
851811,26
739740,26
852176,9
852176,29
852176,7
852176,47
680148,3
954124,41
954124,18
1110254,3
622978,30
852351,5
740006,26
568768,8
680502,20
680502,9
680502,8
740124,18
954404,19
954404,26
740259,14
852517,16
852517,32
1110575,132
1063577,2
853164,2
853164,67
788427,9
239681,23
853369,9
1004196,6
454029,25
570170,7
395639,3
741710,29
570267,31
682072,27
510672,89
854094,19
1064988,8
1064988,26
1005047,18
905331,21
625431,61
956601,3
956978,60
956978,20
790074,7
400630,55
400662,25
1065813,9
400906,12
1065522,5
511647,123
1005801,120
455947,17
455947,27
455960,20
455960,120
743160,18
743160,29
683514,6
790696,3
790696,3
626417,2
790767,196
1113046,83
1113046,71
856692,19
856698,18
790996,6
856592,19
856592,8
957851,15
456476,20
512670,6
857031,9
684432,16
1006812,9
1006812,5
791487,32
405966,30
958556,71
958556,18
744537,92
744537,86
744537,20
1007078,12
1007063,38
857663,7
457497,5
457497,3
1114275,16
1007411,44
253317,3
744840,79
744840,46
959432,30
792680,17
628241,3
858805,15
858805,21
858932,20
858932,10
686185,16
686185,72
858958,35
858958,14
459058,147
459266,13
1116067,30
1116067,10
859373,25
746346,24
746414,57
859733,46
1116544,4
1116544,32
629943,3
629943,13
746920,66
860153,48
860153,20
515932,14
515932,4
460437,5
460437,3
1116936,91
961782,81
1117271,57
1117271,35
1117271,44
1070104,108
1070104,4
576304,13
860804,16
860804,12
1070360,18
910777,50
910777,36
1117650,37
1117650,3
795398,13
630933,17
461432,33
962689,4
962597,11
962700,59
962700,45
962700,15
962700,37
461459,34
461459,24
748162,3
748162,3
748162,43
747974,5
461649,26
1010835,6
796149,22
861929,15
861929,38
861836,53
1011345,74
690151,38
517523,2
416688,36
416688,17
577983,126
577983,57
631982,15
631982,45
