id,score,total_errors,popularity
53321028,-2,4,unpopular
31848490,-2,2,unpopular
34759974,-2,3,unpopular
4042746,-2,1,unpopular
9884983,-2,1,unpopular
6394172,-2,3,unpopular
6881646,-2,1,unpopular
32942804,-2,9,unpopular
33367589,-2,2,unpopular
25204132,-2,2,unpopular
39579012,-2,2,unpopular
24865863,-2,5,unpopular
18816236,-2,1,unpopular
12613942,-2,5,unpopular
45343686,-2,3,unpopular
25970726,-2,6,unpopular
27996061,-2,2,unpopular
20649259,-2,1,unpopular
29225394,-2,10,unpopular
45618926,-2,16,unpopular
57584911,-2,1,unpopular
42157821,-2,1,unpopular
37606419,-2,2,unpopular
12621892,-2,4,unpopular
19446985,-2,7,unpopular
6228069,-2,6,unpopular
10333561,-2,2,unpopular
20876852,-2,4,unpopular
24475754,-2,1,unpopular
17348858,-2,3,unpopular
44825157,-2,21,unpopular
40773376,-2,1,unpopular
24970918,-2,2,unpopular
47492590,-2,1,unpopular
47819871,-2,7,unpopular
43518573,-2,1,unpopular
44263001,-2,6,unpopular
25069996,-2,2,unpopular
50390394,-2,2,unpopular
17163291,-2,9,unpopular
32571673,-2,1,unpopular
45301309,-2,1,unpopular
23893473,-2,1,unpopular
22420053,-2,2,unpopular
36599186,-2,2,unpopular
31842731,-2,1,unpopular
16769775,-2,4,unpopular
38026210,-2,29,unpopular
16161148,-2,3,unpopular
47280045,-2,5,unpopular
22427513,-2,2,unpopular
34837335,-2,14,unpopular
27743011,-2,9,unpopular
31829935,-2,7,unpopular
59611788,-2,2,unpopular
14941399,-2,14,unpopular
13291983,-2,2,unpopular
58971879,-2,5,unpopular
21698986,-2,27,unpopular
28947652,-2,2,unpopular
23465451,-2,5,unpopular
46286944,-2,2,unpopular
27694693,-2,10,unpopular
46295773,-2,1,unpopular
51643697,-2,4,unpopular
41408683,-2,1,unpopular
57476318,-2,5,unpopular
34349693,-2,8,unpopular
16336929,-2,2,unpopular
29300153,-2,1,unpopular
36258820,-2,1,unpopular
9461167,-2,4,unpopular
4743813,-2,7,unpopular
25856677,-2,1,unpopular
17187526,-2,1,unpopular
23452444,-2,3,unpopular
36742628,-2,3,unpopular
38119821,-2,1,unpopular
17873344,-2,2,unpopular
11274821,-2,9,unpopular
5240571,-2,9,unpopular
22918810,-2,4,unpopular
15185008,-2,3,unpopular
36736760,-2,2,unpopular
14752686,-2,4,unpopular
24469744,-2,1,unpopular
47028517,-2,5,unpopular
29150608,-2,4,unpopular
47709068,-2,6,unpopular
15116800,-2,16,unpopular
51951547,-2,1,unpopular
40840027,-2,1,unpopular
28213964,-2,14,unpopular
29629593,-2,2,unpopular
24558457,-2,1,unpopular
19840495,-2,1,unpopular
30023576,-2,8,unpopular
49958755,-2,5,unpopular
14155716,-2,11,unpopular
12515202,-2,9,unpopular
22532193,-2,12,unpopular
4896146,-2,3,unpopular
9139892,-2,1,unpopular
4542683,-2,1,unpopular
31702261,-2,2,unpopular
47265442,-2,1,unpopular
29870314,-2,7,unpopular
56313863,-2,1,unpopular
34694399,-2,6,unpopular
59734669,-2,1,unpopular
47095337,-2,5,unpopular
32999216,-2,12,unpopular
18910617,-2,5,unpopular
16461716,-2,5,unpopular
24140247,-2,8,unpopular
20747721,-2,3,unpopular
36639099,-2,1,unpopular
40972631,-2,10,unpopular
28125267,-2,3,unpopular
38713528,-2,2,unpopular
15374709,-2,2,unpopular
37542006,-2,1,unpopular
40602093,-2,9,unpopular
47332775,-2,12,unpopular
11483909,-2,2,unpopular
45126529,-2,1,unpopular
25719404,-2,15,unpopular
16054695,-2,5,unpopular
41327312,-2,1,unpopular
35752402,-2,2,unpopular
44431857,-2,17,unpopular
23650562,-2,4,unpopular
33759157,-2,2,unpopular
49356951,-2,13,unpopular
47426522,-2,5,unpopular
41874690,-2,18,unpopular
28567865,-2,8,unpopular
43200835,-2,3,unpopular
12437383,-2,5,unpopular
37208567,-2,7,unpopular
46694780,-2,1,unpopular
27038545,-2,1,unpopular
60930162,-2,3,unpopular
32562182,-2,3,unpopular
22740571,-2,3,unpopular
10735759,-2,7,unpopular
43326438,-2,1,unpopular
21952823,-2,10,unpopular
45336976,-1,2,unpopular
54353230,-1,20,unpopular
38393641,-1,3,unpopular
10811724,-1,4,unpopular
42626864,-1,1,unpopular
53954899,-1,1,unpopular
11496506,-1,11,unpopular
8848019,-1,3,unpopular
15423979,-1,5,unpopular
48496407,-1,2,unpopular
15300881,-1,4,unpopular
50870522,-1,2,unpopular
54327312,-1,6,unpopular
12848429,-1,3,unpopular
57260942,-1,2,unpopular
35064513,-1,1,unpopular
52795504,-1,4,unpopular
46865229,-1,10,unpopular
32704083,-1,21,unpopular
20945026,-1,15,unpopular
35311483,-1,2,unpopular
25424517,-1,12,unpopular
46915379,-1,2,unpopular
8048229,-1,5,unpopular
31420404,-1,3,unpopular
38143593,-1,1,unpopular
32415248,-1,2,unpopular
10381135,-1,5,unpopular
44896734,-1,1,unpopular
36233363,-1,6,unpopular
25106011,-1,1,unpopular
3980575,-1,3,unpopular
46031773,-1,2,unpopular
41585137,-1,1,unpopular
58734521,-1,3,unpopular
18561735,-1,2,unpopular
8713223,-1,5,unpopular
38084224,-1,5,unpopular
14668453,-1,7,unpopular
11695040,-1,1,unpopular
27017942,-1,6,unpopular
40260888,-1,8,unpopular
15176138,-1,6,unpopular
12853052,-1,28,unpopular
55022619,-1,9,unpopular
54725026,-1,1,unpopular
37657337,-1,2,unpopular
23865128,-1,5,unpopular
49110448,-1,2,unpopular
54547819,-1,1,unpopular
20865652,-1,1,unpopular
53499298,-1,16,unpopular
38821956,-1,2,unpopular
57082664,-1,3,unpopular
60220969,-1,1,unpopular
27525775,-1,18,unpopular
48052434,-1,1,unpopular
42041426,-1,6,unpopular
20718818,-1,3,unpopular
31263627,-1,23,unpopular
43013677,-1,2,unpopular
41702454,-1,3,unpopular
40879115,-1,4,unpopular
25175069,-1,30,unpopular
38931511,-1,5,unpopular
55659474,-1,2,unpopular
25898311,-1,7,unpopular
40658859,-1,1,unpopular
29577498,-1,1,unpopular
25543614,-1,1,unpopular
38026388,-1,10,unpopular
13332766,-1,26,unpopular
46363534,-1,4,unpopular
57462065,-1,1,unpopular
42941030,-1,1,unpopular
15258276,-1,5,unpopular
21572776,-1,23,unpopular
6834645,-1,1,unpopular
6518940,-1,2,unpopular
52419877,-1,4,unpopular
9059048,-1,1,unpopular
33017427,-1,8,unpopular
48921229,-1,3,unpopular
25949330,-1,2,unpopular
14978262,-1,2,unpopular
35888218,-1,17,unpopular
32305959,-1,10,unpopular
14577635,-1,2,unpopular
16963908,-1,3,unpopular
36567485,-1,2,unpopular
40524895,-1,3,unpopular
31288740,-1,2,unpopular
