id,score,total_errors,popularity
34636191,-6,58,unpopular
50849693,-6,10,unpopular
44906641,-6,1,unpopular
40967547,-6,2,unpopular
50166129,-6,2,unpopular
21524748,-6,2,unpopular
29819951,-6,3,unpopular
45099433,-6,1,unpopular
38167020,-6,2,unpopular
34179795,-6,10,unpopular
18395111,-6,6,unpopular
35315637,-6,22,unpopular
37893617,-6,7,unpopular
51260448,-6,5,unpopular
16186678,-6,4,unpopular
41690633,-6,8,unpopular
46051658,-6,2,unpopular
23285447,-6,19,unpopular
38239651,-6,26,unpopular
35197331,-6,2,unpopular
52461069,-6,4,unpopular
50371907,-6,5,unpopular
49709225,-6,15,unpopular
44112749,-6,15,unpopular
28728988,-6,1,unpopular
41441266,-6,2,unpopular
32173313,-6,2,unpopular
18760747,-6,9,unpopular
28979544,-6,1,unpopular
34614551,-6,2,unpopular
19216941,-6,2,unpopular
29621413,-6,34,unpopular
46786487,-6,4,unpopular
50185585,-6,50,unpopular
19941703,-6,5,unpopular
23608580,-6,3,unpopular
23517243,-6,30,unpopular
21815650,-6,5,unpopular
38644903,-6,2,unpopular
30864378,-6,10,unpopular
47617968,-6,1,unpopular
24050852,-6,104,unpopular
45755676,-6,5,unpopular
27065680,-6,12,unpopular
42302073,-6,5,unpopular
30295806,-6,11,unpopular
30165125,-6,7,unpopular
14404230,-6,26,unpopular
35864655,-6,3,unpopular
48765956,-6,23,unpopular
34183031,-5,4,unpopular
31178879,-5,37,unpopular
38388032,-5,3,unpopular
23562119,-5,29,unpopular
44918742,-5,1,unpopular
15125311,-5,34,unpopular
46287296,-5,37,unpopular
48020512,-5,4,unpopular
45281907,-5,3,unpopular
48343325,-5,11,unpopular
6516617,-5,18,unpopular
24993195,-5,1,unpopular
24351312,-5,17,unpopular
26178180,-5,1,unpopular
48616661,-5,1,unpopular
30883470,-5,8,unpopular
44012662,-5,11,unpopular
38737853,-5,31,unpopular
15738653,-5,4,unpopular
40355271,-5,2,unpopular
42855683,-5,4,unpopular
52353535,-5,7,unpopular
24989388,-5,9,unpopular
53590522,-5,10,unpopular
9569524,-5,14,unpopular
27723601,-5,13,unpopular
46210683,-5,10,unpopular
46161638,-5,2,unpopular
