id,n_lines
1004340,17
1004586,8
905147,7
742438,8
790913,4
856802,9
857144,35
958413,5
744367,2
857859,21
857859,7
858095,26
959364,11
792669,26
1008038,28
1008613,8
515359,7
961621,37
961621,3
1117761,20
861212,17
1118067,6
1119160,33
1119103,4
749495,28
797070,22
797070,13
797070,3
797070,41
964250,2
691446,8
1119845,7
797735,34
1072971,3
1120195,16
1120232,7
1013350,21
1120833,20
1120833,30
1120833,27
965845,5
965845,5
1121061,11
1074087,5
1074087,6
751593,20
1074359,3
1121625,19
1122037,30
1122310,8
1075540,12
967516,7
1123121,19
1076563,9
1123753,9
1123822,41
1016822,16
1124082,17
969222,9
1124378,27
868477,6
1017409,9
969673,18
1077960,24
757854,5
757854,21
757854,5
757854,14
972660,32
1020436,13
701047,3
807136,12
924197,28
1128355,22
974554,20
1021699,34
925009,26
808491,6
808392,36
808935,4
1082631,3
1082631,2
1083021,3
927447,3
811385,14
876938,37
646269,25
1132517,9
979324,9
706830,15
1085796,13
1085796,35
764686,46
764686,24
479248,56
1135391,10
1135722,68
1029994,3
1136082,2
815685,12
815685,21
1137922,3
1137922,7
655393,4
1140031,11
1035826,6
716218,22
821142,17
1141376,2
1142618,11
823301,71
823787,54
828506,33
1146408,29
765881,28
1042453,17
767887,28
720035,27
767910,30
1091806,35
1093423,29
1093423,39
491265,22
1048292,37
840633,27
497334,58
561360,23
896032,26
896032,36
616798,23
948140,6
504181,8
785890,27
785890,31
622978,23
1063577,18
1004196,16
744119,29
746388,27
746388,26
860804,2
1070486,28
1118454,3
798026,27
798026,30
1014101,55
1014101,55
1014101,55
801397,28
801397,28
755410,24
1078549,26
870662,16
1126925,36
529614,21
1024522,31
977539,2
1083957,19
648998,27
651215,24
816527,63
1031668,26
1140218,40
1036175,38
1037875,25
312733,27
1041664,23
717963,74
766512,29
1090499,28
1090499,5
767037,38
982449,66
428890,2
660527,4
1091016,5
548609,5
548609,34
602944,10
883203,4
153522,9
1044586,34
768750,30
833317,13
1091936,11
1045609,30
1045609,27
884579,10
327632,12
662943,35
662851,20
662851,16
162866,10
770554,26
551905,10
1047801,37
1047465,28
607962,24
1095667,36
1095667,28
666256,11
773520,32
773212,51
609150,2
609231,2
666776,4
495659,8
839700,26
839912,5
1098489,33
1098382,50
1051238,27
1051238,45
775524,40
1098189,6
1051150,14
775619,30
557082,24
1051717,5
497202,39
942943,6
187675,24
1099162,3
557718,4
557457,14
558646,8
777385,83
364162,3
363692,20
443480,6
500172,3
1056227,5
996286,30
445351,9
1104357,17
1104606,49
1057670,30
1105463,3
949052,17
847759,39
563980,12
675971,2
847311,11
783180,12
1107421,35
898633,18
676588,9
565655,32
849800,3
951790,22
