id,n_lines
41843851,5
22241784,9
58966900,2
59436064,2
51060242,4
57076617,14
60280831,17
56771957,2
16143569,8
50921449,7
59461251,4
33915659,2
48168260,6
44607189,13
37180993,6
20835404,5
20835404,5
53687760,8
51794798,2
45829268,9
39569687,5
39569687,3
51534604,13
49423982,11
49423982,11
57999450,5
55950125,11
30927195,15
46906798,26
50924662,22
53242062,15
58395561,9
58395561,9
40540848,6
39704089,10
60737620,9
52971418,11
56953801,10
60195798,3
53010651,5
56608847,22
56608847,22
56608847,5
45890926,8
53905155,2
53905155,20
60248605,5
16197100,9
57135486,3
22274038,2
17015712,3
48623464,13
60196292,2
35720050,7
56860302,8
59928502,33
45800723,6
56544159,7
56582733,7
39564200,11
61471815,12
59764954,5
57802555,14
47362601,8
47362601,7
60100624,15
56047120,6
19735756,3
48468907,6
47014573,2
60405307,12
51965179,12
51619420,3
60223958,26
53048099,11
23397088,7
61264996,9
61140943,13
49898770,9
49898770,6
17601948,11
60470291,25
50042319,7
51792527,8
58201921,6
42171794,43
46294874,8
57434700,7
30357775,2
61948678,7
61948678,11
53678219,5
54140915,24
45518762,5
49838785,3
49838785,8
49838785,13
60418040,14
32391505,3
54918934,9
57692996,24
52151364,19
34873277,11
44918060,2
59701040,5
57864485,5
45055699,2
46604139,8
46604139,8
53387147,7
57407890,14
45205053,23
59286699,18
54613997,8
62107881,9
45278704,7
12094515,23
29334721,5
53461321,5
58723705,12
58723705,6
52454265,34
34834989,24
55233972,3
55233972,9
55233972,10
8299918,3
59871059,4
45221624,4
39021668,2
61661827,26
14350963,10
52962616,7
39350525,5
54622777,13
30094681,12
61210222,14
55263117,15
48182695,11
54707485,6
42847716,6
47632597,8
61793191,12
58027628,32
62075652,23
58726709,34
61265246,3
57853755,24
58965743,22
58297932,25
52496562,6
53778854,9
21856365,2
54089878,4
56332512,14
47736648,28
54756525,4
58608623,7
44906123,14
51131750,4
43591401,8
44713221,5
48561553,3
56404757,14
48366995,5
58447691,48
26101746,4
52465768,11
41614968,3
61742878,5
58540280,3
48975401,10
61876885,8
58641025,17
45476456,9
55705232,14
38635587,5
58893777,6
58893777,6
61359857,28
58431427,10
57244238,16
44347511,19
54493889,35
61943343,8
61943343,6
47995011,15
50330640,52
40592354,2
62074968,5
29764211,3
59599574,9
54095760,13
45214929,3
6365425,13
49136826,3
58323159,5
61753427,3
61753427,5
61736029,8
55801995,7
55801995,5
8277222,2
44451538,7
54756708,3
37122790,5
51013580,3
60337688,4
53738396,6
61681845,34
49832871,3
49832871,6
56691197,29
56541305,9
56541305,5
54351785,12
54351785,8
54351785,8
27260921,19
45914224,20
57364605,7
58606718,2
15926893,4
60711304,8
60711304,8
60814362,3
39840260,88
44675963,6
54287908,2
49573145,10
29137710,8
51268307,4
46050557,6
61006768,8
60730293,5
57041717,8
47655405,6
60173100,4
34614572,5
47061034,2
42351406,48
58835886,21
58835886,16
59114147,9
59114147,10
49155601,5
57401008,16
25222321,4
47033312,19
59479421,24
51408238,7
30994808,9
59573834,7
59573834,7
59573834,3
59573834,3
59113761,8
41919129,4
51848554,16
8206388,11
36259894,11
58762278,5
59944115,5
57267549,18
57312019,5
51331375,8
17825595,20
54048705,9
59774011,4
41488222,3
46559252,8
58637454,17
48958879,4
51665538,7
60757660,4
41953142,8
59628867,19
47050257,20
57265909,4
35080824,3
60008518,12
51899118,4
51899118,9
59948462,29
51144655,8
34060065,6
56413442,31
51312745,5
10209245,5
45850224,8
34866885,7
48181693,3
48181693,3
48181693,2
45850245,8
57717125,13
27193065,6
56824025,11
51277237,5
60793212,11
61167660,5
56474472,2
59433446,2
59433446,2
34728872,17
55123506,8
57464264,23
57464264,6
31001266,4
41790958,8
59550867,13
54405402,3
57098766,14
51467870,30
53412529,2
50366616,16
22517984,3
46862551,20
37756075,7
37756075,7
59776111,13
7675947,3
28676856,10
25402278,5
60756062,8
53496128,3
51977752,27
51977752,27
46071096,12
47085870,7
59966214,9
14015812,2
39426054,5
51497677,4
49741098,3
20484690,6
48007581,6
46949449,3
59851495,10
48007547,3
50449834,3
50449834,9
50449834,10
57998656,21
58886411,12
29908168,13
52705383,11
52705383,6
47997976,3
54195211,13
45615130,5
53018129,3
56704146,6
47601178,12
51080627,9
36866880,4
56159810,10
60851932,5
55158392,4
48380941,12
48380941,12
60682908,47
56375485,7
53740488,34
48101192,6
56436137,5
45706108,8
18824417,22
10774718,3
56775054,12
43692118,5
59700404,6
40960255,3
51096756,5
55690009,38
58848811,3
59418084,30
49630191,5
53149813,37
34538801,6
52234232,5
34154758,3
10489449,11
37628776,3
58129729,9
58129729,7
46563131,9
54646876,4
54723575,3
58508746,3
57913187,7
58395671,16
57940334,4
57940334,5
36665535,9
12252717,4
29450963,4
32322208,6
50718153,4
56390148,3
54095299,13
40815630,50
44526596,2
52394458,8
57629027,23
13001344,13
38590166,6
49616065,3
32034636,21
23669530,10
9970427,4
59662921,4
48882726,9
46505671,4
46505671,4
46505671,4
59723213,15
58503957,2
57504452,7
26361988,8
26124194,6
26684109,15
55422560,37
42666694,3
48844988,24
45407158,19
26068126,9
44305576,4
49188276,9
44046946,7
53311742,7
58425456,2
51188226,8
54631567,8
54688175,5
54688175,12
57348258,14
61840962,10
61019921,6
42534000,7
42534000,6
51151685,3
44450492,9
59069653,6
43631138,3
43631138,3
53560421,14
25670558,10
55265443,8
28703714,2
47969526,3
43776158,14
61979065,10
61979065,13
52754729,3
52369016,13
56976176,12
26460681,5
45063672,4
52184182,5
23312259,18
52417421,8
42677172,6
47404389,8
29304831,3
7726717,2
57765494,23
19335519,2
53591693,35
57261139,2
48684889,3
58769853,25
59854608,3
61886143,6
28834480,3
61629710,10
40991350,24
40991350,9
61607192,4
53754135,11
60962660,15
58162051,5
58162051,3
33651853,13
47420580,5
60487455,6
45565595,7
57876209,10
54392820,20
54392820,17
37087546,3
61413861,4
55588482,2
50320616,4
25976550,3
41579092,23
50334663,11
15571242,6
55374474,8
60545362,7
60545362,8
54938809,5
42646728,7
58420516,6
12575138,9
56373186,2
56373186,4
52854395,17
57459189,9
49998535,5
54476212,8
23763916,5
53488937,18
38232841,6
49063945,22
45216146,3
46223088,5
22893052,4
40716817,13
59800827,12
57143429,12
57143429,11
20866015,5
49661729,23
58567248,14
36318942,4
36465971,3
51882975,7
54398242,11
54398242,5
54398242,11
54398242,32
46150951,8
57782171,3
57782171,3
53058407,10
21699028,7
21699028,7
57788633,13
34022059,11
53412380,3
21827819,21
22361079,4
22361079,4
54464357,32
52647477,17
43664345,3
46848368,12
46164310,12
49191165,11
57821459,5
46012747,8
42284008,10
51401596,8
38827057,5
58628919,20
43203510,8
52871121,14
53435973,5
21877950,4
21877950,3
51346905,19
32175635,8
58442074,2
42320343,57
56514529,5
56514529,3
51467106,33
49558500,11
49558500,12
45775171,8
56805788,5
40781250,8
58852492,6
60083899,36
57346822,6
59875215,8
56923709,20
61101670,6
56597078,7
49644049,10
60447120,3
58060062,3
58060062,7
51896079,8
58908629,5
56847380,3
60321992,6
47215931,7
46653286,10
22617515,12
56338570,9
49574383,10
55654169,10
51045310,17
56424702,21
29124653,3
39219471,16
53666438,9
53666438,18
58600077,10
60084389,9
60084389,4
42497006,3
47256234,3
51344957,14
4562643,11
13408506,2
55547367,5
55547367,8
55547367,5
51113423,10
51113423,10
43549436,3
36521309,7
60563992,24
57342367,8
56900671,4
60358165,7
51595763,4
45959673,3
57123619,4
55120065,17
55120065,16
32245702,8
56975366,20
59565940,14
41159537,8
36631161,12
59957722,3
56579244,10
59501372,4
47638679,14
49672369,22
50781937,9
32231528,12
56099535,10
51512082,17
53633521,5
61313955,4
55637357,3
59363775,9
39799406,13
39799406,12
43153869,7
49024246,4
52829845,10
40689386,6
58130015,7
58130015,8
58130015,8
36820074,4
45554526,8
21682636,2
47092079,3
51542117,7
60267569,4
59441883,3
60140597,6
51433316,10
51331866,26
54303855,26
58254932,12
51783592,16
53367483,4
58893350,6
58893350,7
58229640,12
47977355,20
54337778,26
46908199,13
46908199,27
55453268,4
55453268,6
57324601,5
43023289,7
43023289,10
43023289,11
27289530,3
59309290,6
58120790,5
25187599,5
57043786,7
55237599,4
30275642,6
30770088,2
53468327,5
62072587,9
41545369,3
48045374,7
48502772,4
4012993,5
52940499,3
61183685,21
50663429,3
44749300,3
47679385,4
49055421,8
21181684,2
55279420,2
49994792,6
54726968,23
36386012,9
60427859,15
61129457,3
52491795,4
55448634,4
46648551,10
59260481,17
55037588,6
55037588,3
55037588,15
54939908,33
47811243,3
55853643,8
58514561,6
43643344,3
58059699,12
58059699,16
59656683,22
59656683,7
57833145,17
49817657,7
49817657,3
54636216,6
58050053,28
61079300,10
52624055,14
52624055,14
61121432,16
57451079,25
31327009,3
53590506,3
51100564,9
58018827,5
46640650,8
56239018,35
47696115,7
58189600,6
54027433,9
61169835,42
52822717,16
38475373,4
46361398,3
53330216,41
48163218,5
58508704,11
52444837,9
38089701,23
56334022,17
9684200,6
61567872,9
26443307,3
55209853,11
57994074,7
