id,complexity,line_complexity
1088231,2,0.045454545454545456
716879,1,0.034482758620689655
716879,3,0.05
717002,1,0.1111111111111111
980518,1,0.043478260869565216
1089079,1,0.3333333333333333
880492,2,0.08695652173913043
1089355,1,0.125
1042007,1,0.05555555555555555
1042007,1,0.034482758620689655
881162,1,0.03225806451612903
982524,1,0.25
882216,1,0.04
1043131,2,0.07142857142857142
719737,3,0.046875
661087,1,0.125
720249,1,0.03333333333333333
1044243,1,0.09090909090909091
721142,1,0.16666666666666666
1092694,2,0.08333333333333333
884752,1,0.03125
884752,1,0.2
834367,1,0.058823529411764705
986187,1,0.058823529411764705
722922,2,0.07407407407407407
886685,1,0.5
886685,1,0.125
886685,1,0.125
1094835,1,0.0196078431372549
665120,1,0.09090909090909091
1095272,1,0.047619047619047616
1048041,2,0.3333333333333333
772562,1,0.25
888138,5,0.625
725967,1,0.029411764705882353
725967,1,0.2
888494,3,0.25
888494,2,1
888531,3,0.07692307692307693
939878,1,0.2
888720,1,0.25
889651,1,0.06666666666666667
990845,1,0.2
991071,1,0.0625
611568,2,0.02631578947368421
611568,1,0.05263157894736842
942316,1,0.07692307692307693
942316,3,0.09375
942316,1,0.5
728780,2,0.10526315789473684
728780,1,0.2
891420,1,0.1111111111111111
1052288,1,0.16666666666666666
891593,2,0.13333333333333333
891593,1,0.16666666666666666
729221,1,0.037037037037037035
729221,1,0.011904761904761904
670104,1,0.25
841877,1,0.25
729777,1,0.25
842218,1,0.07692307692307693
730349,1,0.3333333333333333
730349,1,0.16666666666666666
730432,3,0.08333333333333333
944171,1,0.16666666666666666
778306,2,0.1
893573,1,0.16666666666666666
893573,2,0.2857142857142857
944683,3,0.04477611940298507
945361,1,0.125
894540,2,0.18181818181818182
995148,1,0.0625
995148,1,0.023255813953488372
1055428,1,0.027777777777777776
844942,1,0.09090909090909091
995779,1,0.16666666666666666
1056107,1,0.041666666666666664
895902,1,0.1
674243,1,0.08333333333333333
781343,1,0.5
781343,1,0.16666666666666666
734424,1,0.16666666666666666
948456,9,0.19148936170212766
998158,1,0.125
998748,1,0.0625
898513,4,0.25
898665,1,0.020833333333333332
1059048,3,0.3
1059378,4,0.3076923076923077
783712,3,0.14285714285714285
1059516,1,0.08333333333333333
1059516,1,0.125
848966,1,0.5
1000317,1,0.02857142857142857
1060320,1,0.125
737380,1,0.05263157894736842
951529,2,0.0425531914893617
1000690,1,0.25
951860,1,0.022727272727272728
737866,1,0.06666666666666667
737866,1,0.14285714285714285
1108298,1,0.041666666666666664
952173,1,0.020833333333333332
952375,1,0.25
850992,1,0.06666666666666667
902138,1,0.034482758620689655
1002174,1,0.023255813953488372
1002174,1,0.030303030303030304
1062561,3,1
1062578,2,0.2
1110181,1,0.1111111111111111
903875,1,0.04
1004340,2,0.11764705882352941
1004586,1,0.125
905147,1,0.14285714285714285
742438,1,0.125
790913,1,0.25
856802,1,0.1111111111111111
857144,1,0.02857142857142857
958413,1,0.2
744367,1,0.5
857859,1,0.047619047619047616
857859,1,0.14285714285714285
858095,2,0.07692307692307693
959364,1,0.09090909090909091
792669,1,0.038461538461538464
1008038,3,0.10714285714285714
1008613,2,0.25
515359,1,0.14285714285714285
961621,1,0.02702702702702703
961621,1,0.3333333333333333
1117761,1,0.05
861212,2,0.11764705882352941
1118067,1,0.16666666666666666
1119160,4,0.12121212121212122
1119103,1,0.25
749495,1,0.03571428571428571
797070,1,0.045454545454545456
797070,1,0.07692307692307693
797070,1,0.3333333333333333
797070,1,0.024390243902439025
964250,1,0.5
691446,2,0.25
1119845,1,0.14285714285714285
797735,1,0.029411764705882353
1072971,1,0.3333333333333333
1120195,1,0.0625
1120232,1,0.14285714285714285
1013350,1,0.047619047619047616
1120833,1,0.05
1120833,1,0.03333333333333333
1120833,1,0.037037037037037035
965845,1,0.2
965845,1,0.2
1121061,1,0.09090909090909091
1074087,1,0.2
1074087,1,0.16666666666666666
751593,1,0.05
1074359,1,0.3333333333333333
1121625,2,0.10526315789473684
1122037,1,0.03333333333333333
1122310,1,0.125
1075540,2,0.16666666666666666
967516,1,0.14285714285714285
1123121,1,0.05263157894736842
1076563,2,0.2222222222222222
1123753,1,0.1111111111111111
1123822,3,0.07317073170731707
1016822,3,0.1875
