id,n_lines
60132664,14
60132664,7
57860475,22
56283388,44
47523399,13
48632674,35
31944504,8
45170399,4
45170399,13
59743521,9
59743521,9
59743521,16
22156272,9
55018895,5
50189707,38
40822432,5
61875647,23
44692293,30
7976520,11
59376189,47
44162951,7
44162951,4
51386042,2
34100911,36
25731767,45
61795438,38
56632734,35
56843204,20
56843204,13
58062290,23
58062290,3
57103554,10
57103554,12
35891275,35
42375212,26
42375212,43
51475949,7
59017227,38
59802904,16
58171525,58
58171525,6
24695828,19
48554927,12
51346805,8
54674889,16
58926864,30
9924015,5
40640341,36
37623725,26
50154086,32
40479248,47
58991891,6
18415541,5
58373389,28
58373389,43
61113567,26
46585075,32
46585075,10
49682604,10
50874250,9
24291315,3
55131488,27
35287345,58
49245233,24
54302268,19
58755177,27
47621545,29
58482456,13
58482456,13
32577809,45
54815074,28
51089953,10
33800273,12
54362072,11
58223260,7
30261226,54
33182823,2
3770100,11
61563225,4
60835860,11
48603515,42
48603515,31
60331079,6
60331079,7
58822538,5
57616203,21
58020739,2
52565474,39
56503314,50
50934038,2
59199823,3
54590552,10
54590552,33
54990914,16
50443241,37
50131469,10
59094242,8
61423908,54
61423908,6
40107793,26
45340501,23
48775481,35
57854819,9
40247044,47
53608819,20
47678991,4
57763450,27
57763450,12
58538130,25
50210862,27
5500071,5
32738675,9
46434952,5
56841910,11
58010669,33
51873130,28
48013933,20
35309443,40
56807023,33
56807023,42
56807023,2
43967489,11
33445319,3
61003678,48
50037222,24
61750716,39
47445518,4
28093883,39
53321367,6
51598153,3
57727054,24
27546248,20
49170543,11
54603019,26
60291255,7
60291255,15
23823076,13
56016265,43
59855191,4
56363378,5
56363378,5
53191018,17
53811823,10
20130471,3
47809468,16
57629653,38
19172565,14
60585768,30
45947748,12
51435606,14
51435606,16
54273785,21
28510177,40
45842817,29
59459800,36
51473883,10
32401792,18
32401792,24
61559785,16
60119465,36
46526414,6
37947160,23
57306867,29
43359316,10
11871732,6
26919303,5
60923516,71
38240410,4
44289191,19
49156060,28
60010006,12
48461559,2
51464823,14
60754183,8
46282128,13
46282128,24
48524258,24
38964764,2
57858087,4
51244151,11
47344438,27
47344438,30
21737352,9
34583573,27
57113820,15
49527656,6
36761661,24
30878506,3
55979206,23
55979206,45
55979206,2
53271946,25
59052655,11
49679941,42
31818573,44
52622947,16
53352265,16
61910029,55
60525385,2
52754165,9
61670181,82
18731776,4
58410343,17
58571173,54
27435165,9
57962149,13
61481285,4
55901560,40
55901560,31
57348213,20
48297834,20
54914229,30
58042952,21
60561229,9
47267956,38
54041206,95
50779983,9
51295035,9
51295035,14
43097296,5
58879790,32
40938528,119
54668675,3
54378294,37
23658612,6
41848045,16
59505252,20
49434525,29
51195440,15
59062538,4
59062538,36
53096987,26
53096987,25
55078487,5
20202020,5
7235970,4
54052197,11
60546200,41
58537984,5
56018761,5
32250318,9
54653400,24
50217606,18
7000436,11
32034530,5
46378280,61
46378280,32
55419567,26
44634088,15
49177103,43
25413378,6
45770223,37
60078368,27
48179798,30
48179798,24
58578640,11
49645215,27
52212123,31
52212123,58
27101924,8
55933708,8
39438601,6
50759480,7
60684742,81
60684742,113
46281617,15
55152867,100
49589467,8
49589467,2
53343330,14
36007965,11
28282743,31
56130585,9
55573318,14
45240268,70
26991560,13
59864269,27
59861343,2
59861343,4
54157858,14
54157858,8
39978334,23
56030995,16
49904747,27
34963893,8
47099978,6
59143179,19
49357821,50
54382065,38
54379810,5
54358831,5
47524946,13
48716130,26
59992956,14
56964306,6
55075515,45
46406376,5
50186722,32
53944534,22
50959401,29
36799822,13
57303513,11
57303513,46
19935972,21
38442659,4
54847334,37
29884357,5
58240040,4
23703962,11
55236413,12
59324648,2
51297512,9
4893995,73
58451337,8
56967265,5
49463664,10
49463664,15
47827087,26
47827087,32
49825507,28
59244190,26
10374675,12
56117342,30
52919577,10
57055484,4
52433124,16
60212909,34
52083476,4
59857069,38
56763450,9
57117018,9
3589395,17
34477024,15
60649968,29
60649968,32
11372598,6
60111115,7
47555778,12
49218996,15
10150338,20
55510223,7
59316589,6
33950643,5
50123295,3
50123295,4
60623460,31
47376269,9
53667938,39
53667938,42
60132302,25
60008094,53
47198735,5
48852692,21
59512550,54
61948305,21
47491009,22
47040497,13
47716836,3
46731137,31
57404599,5
5144296,6
55783172,35
43046022,34
43046022,25
46613351,9
56964774,45
56964774,56
35447582,23
49335519,29
49335519,33
45766885,29
57016951,9
49336317,3
57173969,3
36788152,9
47912985,8
28249789,23
58724022,3
58724022,8
58521415,32
58521415,22
56898321,28
59244126,6
59241132,17
58963892,47
59599943,3
57416476,29
33299313,16
17655575,8
45251222,6
13980584,12
54986032,18
52819797,33
53392419,34
51393693,7
51583238,69
48471299,7
22670395,81
52076416,28
58753312,13
55017961,7
47203082,19
47203082,11
57591739,6
53976678,18
52605807,65
47143676,2
21737719,23
62021098,52
29351694,15
60335981,14
46587110,5
49654231,11
49654231,8
34380705,15
48250789,49
59731562,11
59731562,10
59731562,4
45229190,3
52598120,5
53666256,4
48378364,15
53879845,38
58073054,11
49168286,40
49669684,8
62101606,91
31657379,303
58261463,13
38001508,21
53097024,112
53097024,13
58004646,29
49166270,11
61074909,6
25458691,9
9520872,8
32568475,50
52878288,7
56603477,25
56603477,41
52972693,4
59985690,18
59819194,39
59088300,24
35204269,43
46098013,28
58781881,37
45634316,7
54693254,22
55327588,9
56747170,19
47953150,19
47953150,61
7924601,6
36168966,10
36398128,26
36182103,62
51890607,16
42071583,29
59865135,33
59865135,23
29699251,5
44236841,23
60821746,54
59019384,5
56027250,34
60630915,14
57878975,27
52653474,41
52915295,6
49811851,21
49811851,54
33364711,12
28495294,17
51562138,11
42571075,28
61420007,35
55690683,14
55690683,14
50271655,26
52709234,10
48020378,47
60769266,9
60769266,9
53135360,31
60904893,10
55107936,7
54143852,29
50833325,44
61070200,4
49887021,12
49887021,45
60261424,25
47507531,3
47352519,24
56704449,6
50565934,28
50328634,2
48105287,5
48105287,9
34245895,37
19485237,15
54244142,14
33382747,19
50355255,10
45516500,3
53242059,54
53242059,9
47133552,37
48608014,39
48608014,36
57138426,38
49167886,3
48028058,9
28626288,3
7915858,10
41239959,5
39525564,25
38473735,15
62032772,8
59183525,14
59920721,53
58041380,35
49688571,6
49688571,6
34258981,30
57541804,40
57541804,27
57970055,11
57970055,13
50629108,13
50629108,28
50629108,70
55749939,10
46195553,44
56918538,31
38840028,3
54082483,9
47837445,12
44844494,30
47250234,12
61300595,39
47840518,7
31965096,35
36473196,5
60959382,11
51651111,9
52960640,28
21364895,16
61517420,61
53259615,30
49173492,30
49098593,13
48808966,14
55128801,19
55128801,10
12012897,6
44504842,28
40624095,23
30460438,19
53700773,2
58990802,14
59410775,32
45617564,6
45617564,22
60506895,28
40576551,14
39243337,33
39243337,25
47483649,30
59170453,2
59170453,5
38439456,3
49775409,24
41176321,7
53221044,27
49646491,10
29539131,25
52402521,11
32085079,9
56960151,68
47091897,19
47091897,13
47091897,8
51592914,5
58802828,22
56480084,12
47661688,32
47661688,29
58205067,6
54419236,16
54419236,27
54419236,9
50662521,12
60189685,78
60189685,21
56974137,8
53191866,20
53191866,6
53191866,21
52683812,4
38450490,28
53244160,27
52721818,13
42720725,32
51682669,3
57380460,40
41921939,166
60533883,91
60533883,22
60533883,96
56180759,14
56731984,28
47854434,37
57159061,26
60781597,31
54400673,21
47336405,10
59858633,29
45284650,13
54959663,28
54959663,14
54959663,13
61250471,49
61250471,20
61250471,3
61827683,42
61827683,24
53964967,3
20965723,24
59444049,41
59444049,31
49330264,7
58819456,36
51805383,14
60080924,7
60189239,55
44296104,25
53534398,27
59017772,13
49360220,65
56951527,25
58160377,39
51720948,21
54463535,38
61398943,41
61398943,36
55311675,26
44811281,26
36030593,21
51157737,22
55979644,6
59696672,25
39179570,15
40638207,14
54935028,30
39767365,26
46030345,8
49844072,56
49844072,10
56775671,18
41425874,9
31514150,21
57014717,3
42052847,5
16924970,8
58711116,9
58711116,7
49476117,4
60813396,33
60813396,30
32866495,20
5782766,11
49479563,7
56971171,19
29239492,19
59837181,19
56038489,20
48263058,18
48263058,20
40061430,14
53654053,23
51832349,2
51832349,49
51832349,48
45846214,22
60378330,42
55448499,28
59510209,26
38978395,23
61075506,42
61075506,26
59460255,4
47290614,25
47290614,81
60073855,21
52257699,40
53038766,7
61151728,29
54322007,43
54322007,20
50961309,33
53667401,2
28808888,19
42612946,13
61260431,9
7565108,6
35345534,6
60289647,4
46316213,23
12745243,6
53402579,13
54916955,19
51312224,20
48427655,46
55673125,29
58078957,42
59447060,32
61715394,14
60799310,11
40939231,23
34532451,19
50798555,30
59816891,4
61442728,13
57235645,14
57235645,16
60801336,48
32815608,21
57670510,60
54590164,8
53754566,46
51630240,79
55932196,25
55370418,4
41837174,24
44173673,35
51063683,48
61495205,31
48573092,17
48573092,2
52096003,14
44538519,14
59410866,12
50271223,13
18516695,34
31048267,8
55798567,26
60200664,4
58818834,31
58818834,28
44320622,25
50215984,13
51771944,23
59492025,17
45397714,13
60079472,6
55355183,6
53802932,29
61189715,37
57430415,5
57056193,8
60391787,9
52077011,59
53266920,6
53266920,25
49855370,33
8679672,16
61027863,3
61027863,5
57469400,34
57469400,28
49748467,7
55494880,10
48866272,2
45187483,13
49321984,28
51849065,31
49893572,35
50517167,10
36134929,2
54721852,44
60464962,37
33458740,7
60660018,7
59983819,14
49707835,18
54347333,7
55724759,33
58785487,4
58785487,9
54917244,30
37577341,8
37577341,9
52245500,8
59924712,17
12604620,9
51462636,23
51462636,23
51545012,11
51545012,10
51545012,15
31506562,13
58283191,119
58848873,13
38526449,8
59023810,59
57580813,13
45818959,29
41960873,31
61678068,11
56968213,12
47901233,3
47901233,3
18339652,6
49815739,18
47669708,19
48623244,37
55358360,27
46109820,32
48452547,12
48452547,10
57245203,9
33620909,8
33620909,6
33620909,8
32003714,2
57449241,29
57449241,36
47199242,27
51856988,8
50990166,17
10119852,12
58183306,3
25921806,6
45574203,10
52175620,2
34931543,23
58684399,15
18849330,2
48037324,8
60926729,3
12781209,6
56682370,25
61179148,25
50658381,28
22833699,21
28239041,12
62106569,28
62106569,48
30079045,9
43557609,5
55853372,8
6862584,15
19399862,111
55034265,4
55034265,6
48048455,46
56901241,4
53326079,16
60258127,22
59469854,9
44216121,6
33869579,16
41651076,2
45862140,23
48092073,30
40809810,26
54935810,38
18846017,26
51148753,8
56569345,3
54819225,77
45687024,3
60896733,39
30893713,25
57595942,13
48075050,25
23722133,14
57433975,35
56534552,22
56534552,35
59366460,78
59366460,26
54720518,12
54720518,40
48802977,33
57760129,31
46259994,44
46259994,49
46259994,25
50403747,28
53183799,20
45812123,37
55645273,15
28200716,19
58758100,3
46036377,10
47389985,23
59557092,7
60369712,10
43501646,16
44094037,44
61513813,3
54567494,61
59310333,4
59351075,20
59351075,29
60944775,72
61478669,3
59655855,21
61822007,20
56430732,10
58459666,41
43345204,16
45588215,3
47489180,7
57491747,38
53871349,28
60451567,9
51728897,27
60786753,30
54743286,22
54743286,14
41812946,6
44075860,8
44075860,12
