id,complexity,line_complexity
290898,2,0.4
290900,2,0.4
321924,1,0.1111111111111111
329361,1,0.2
383618,1,0.14285714285714285
414329,1,0.1
423720,1,0.3333333333333333
424891,1,0.3333333333333333
453171,1,0.16666666666666666
461433,1,0.06666666666666667
463812,1,0.0625
470598,2,1
474370,1,0.05263157894736842
474370,1,0.05263157894736842
500824,1,0.14285714285714285
507411,1,0.3333333333333333
512249,1,0.16666666666666666
512881,1,0.2
521470,1,0.07692307692307693
522797,1,0.14285714285714285
537164,1,0.14285714285714285
541540,1,0.2
545170,1,0.3333333333333333
548438,1,0.1111111111111111
548438,1,0.1111111111111111
549431,1,0.08333333333333333
568512,1,0.16666666666666666
583335,1,0.3333333333333333
583800,1,0.1111111111111111
714485,1,0.04
714943,1,0.1111111111111111
714943,1,0.5
716900,1,0.05263157894736842
716900,3,0.06976744186046512
720557,2,0.14285714285714285
721134,1,0.09090909090909091
729995,1,0.0625
734516,1,0.2
734595,1,0.043478260869565216
734595,1,0.02857142857142857
735072,1,0.16666666666666666
745120,1,0.2
750094,1,0.125
759764,2,0.6666666666666666
762207,1,0.14285714285714285
762602,1,0.2
764510,1,0.3333333333333333
783720,1,0.5
784946,1,0.125
784966,3,0.3
785952,1,0.3333333333333333
797083,1,0.3333333333333333
809909,1,0.02564102564102564
811256,1,0.3333333333333333
815457,1,0.047619047619047616
815780,1,0.125
823199,1,0.09090909090909091
825919,1,0.1111111111111111
833508,2,0.2857142857142857
833508,2,0.2857142857142857
979913,1,0.2
982013,1,0.16666666666666666
982127,1,0.5
990756,1,0.14285714285714285
998027,1,0.2
998027,1,0.2
998027,1,0.14285714285714285
998836,1,0.3333333333333333
1001746,1,0.1111111111111111
1002836,1,0.0625
1004179,1,0.2
1006320,1,0.045454545454545456
1007788,2,0.10526315789473684
1007788,3,0.12
1008516,1,0.022727272727272728
1008619,2,0.15384615384615385
1008804,3,0.2727272727272727
1009585,1,0.2
1009750,1,0.16666666666666666
1016135,1,0.1111111111111111
1016538,1,0.03571428571428571
1016943,1,0.045454545454545456
1024252,1,0.5
1032121,1,0.043478260869565216
1035278,1,0.25
1042566,1,0.03125
1046307,1,0.3333333333333333
1048063,1,0.07692307692307693
1055718,1,0.1111111111111111
1059415,7,0.13725490196078433
1060376,1,0.2
1062585,2,0.16666666666666666
1066300,1,0.07142857142857142
851032,1,0.25
857802,1,0.3333333333333333
864407,1,0.2
864451,1,0.5
869373,1,0.25
871130,2,0.18181818181818182
874742,1,0.1
881169,1,0.2
882820,1,0.25
884003,1,0.2
884828,1,0.125
891389,1,0.09090909090909091
892483,2,0.2857142857142857
894714,1,0.5
902534,2,0.18181818181818182
905282,1,0.3333333333333333
919977,3,0.25
934449,1,0.16666666666666666
939312,2,0.1111111111111111
948849,1,0.3333333333333333
951862,1,0.5
952220,1,0.06666666666666667
959401,2,0.3333333333333333
959401,1,0.0625
959401,2,0.6666666666666666
959401,2,0.15384615384615385
961749,1,0.2
612492,2,0.6666666666666666
619731,1,0.14285714285714285
625622,1,0.045454545454545456
634044,1,0.3333333333333333
640897,3,0.17647058823529413
646278,1,0.14285714285714285
661044,1,0.09090909090909091
661594,1,0.125
662394,1,0.3333333333333333
666605,2,1
666823,1,0.14285714285714285
666825,1,0.16666666666666666
668445,1,0.125
672229,1,0.2
680800,1,0.2
682477,1,0.3333333333333333
1074829,1,0.09090909090909091
1079061,2,0.2222222222222222
1079061,1,0.3333333333333333
1079470,1,0.3333333333333333
1080859,2,0.2222222222222222
1082039,1,0.1111111111111111
1082861,1,0.125
1083953,1,0.3333333333333333
1086714,1,0.16666666666666666
1089864,2,0.07692307692307693
1089864,1,0.125
1091723,1,0.1111111111111111
1092725,2,0.25
1093097,1,0.023255813953488372
1094138,1,0.5
1095305,1,0.07692307692307693
1104041,2,0.15384615384615385
1104041,1,0.3333333333333333
1109672,1,0.06666666666666667
1130603,1,0.25
1132524,1,0.02564102564102564
1135873,1,0.5
1140179,1,0.2
1141166,3,0.10714285714285714
1141854,1,0.2
1141854,1,0.09090909090909091
1142475,1,0.05
1143109,1,0.029411764705882353
1143109,1,0.03333333333333333
1145111,1,0.16666666666666666
1145111,1,0.16666666666666666
1145111,1,0.14285714285714285
694006,1,0.2
703183,1,0.2
704219,1,0.125
708764,1,0.047619047619047616
290898,2,0.4
290900,2,0.4
321924,1,0.1111111111111111
329361,1,0.2
383618,1,0.14285714285714285
414329,1,0.1
423720,1,0.3333333333333333
424891,1,0.3333333333333333
453171,1,0.16666666666666666
461433,1,0.06666666666666667
463812,1,0.0625
470598,2,1
474370,1,0.05263157894736842
474370,1,0.05263157894736842
500824,1,0.14285714285714285
507411,1,0.3333333333333333
512249,1,0.16666666666666666
512881,1,0.2
521470,1,0.07692307692307693
522797,1,0.14285714285714285
537164,1,0.14285714285714285
541540,1,0.2
545170,1,0.3333333333333333
548438,1,0.1111111111111111
548438,1,0.1111111111111111
549431,1,0.08333333333333333
568512,1,0.16666666666666666
583335,1,0.3333333333333333
583800,1,0.1111111111111111
714485,1,0.04
714943,1,0.1111111111111111
714943,1,0.5
716900,1,0.05263157894736842
716900,3,0.06976744186046512
720557,2,0.14285714285714285
721134,1,0.09090909090909091
729995,1,0.0625
734516,1,0.2
734595,1,0.043478260869565216
734595,1,0.02857142857142857
735072,1,0.16666666666666666
745120,1,0.2
750094,1,0.125
759764,2,0.6666666666666666
762207,1,0.14285714285714285
762602,1,0.2
764510,1,0.3333333333333333
783720,1,0.5
784946,1,0.125
784966,3,0.3
785952,1,0.3333333333333333
797083,1,0.3333333333333333
809909,1,0.02564102564102564
811256,1,0.3333333333333333
815457,1,0.047619047619047616
815780,1,0.125
823199,1,0.09090909090909091
825919,1,0.1111111111111111
833508,2,0.2857142857142857
833508,2,0.2857142857142857
979913,1,0.2
982013,1,0.16666666666666666
982127,1,0.5
990756,1,0.14285714285714285
998027,1,0.2
998027,1,0.2
998027,1,0.14285714285714285
998836,1,0.3333333333333333
1001746,1,0.1111111111111111
1002836,1,0.0625
1004179,1,0.2
1006320,1,0.045454545454545456
1007788,2,0.10526315789473684
1007788,3,0.12
1008516,1,0.022727272727272728
1008619,2,0.15384615384615385
1008804,3,0.2727272727272727
1009585,1,0.2
1009750,1,0.16666666666666666
1016135,1,0.1111111111111111
1016538,1,0.03571428571428571
1016943,1,0.045454545454545456
1024252,1,0.5
1032121,1,0.043478260869565216
1035278,1,0.25
1042566,1,0.03125
1046307,1,0.3333333333333333
1048063,1,0.07692307692307693
1055718,1,0.1111111111111111
1059415,7,0.13725490196078433
1060376,1,0.2
1062585,2,0.16666666666666666
1066300,1,0.07142857142857142
851032,1,0.25
857802,1,0.3333333333333333
864407,1,0.2
864451,1,0.5
869373,1,0.25
