id,score,total_errors,popularity
47654537,3,4,neutral
55531464,3,1,neutral
53182554,3,7,neutral
52712596,3,1,neutral
43766441,3,1,neutral
55551255,3,3,neutral
59436139,3,12,neutral
55405905,3,1,neutral
42613323,3,1,neutral
29732137,3,2,neutral
36825297,3,3,neutral
45194148,3,4,neutral
54327143,3,4,neutral
47738436,3,1,neutral
56171739,3,14,neutral
45710060,3,1,neutral
48435159,3,6,neutral
50080210,3,5,neutral
55201230,4,1,neutral
54263514,4,1,neutral
55604135,4,1,neutral
58531157,4,1,neutral
41614490,4,2,neutral
52184029,4,1,neutral
56790562,4,5,neutral
50951111,4,1,neutral
42801780,4,3,neutral
52192231,4,6,neutral
44290467,4,1,neutral
54336836,4,5,neutral
55885474,4,3,neutral
36068033,4,17,neutral
51170152,4,24,neutral
50916988,5,4,popular
45782409,5,1,popular
44600926,5,21,popular
35581867,5,1,popular
34164058,5,4,popular
58482407,6,1,popular
48558252,6,2,popular
40392242,6,1,popular
40642435,6,1,popular
52963339,6,3,popular
48327734,6,4,popular
44395147,6,4,popular
35037170,6,3,popular
44852032,7,1,popular
45931727,7,1,popular
47958732,7,2,popular
53698928,7,4,popular
31198230,7,4,popular
49416321,7,4,popular
38143129,7,3,popular
35817261,7,1,popular
36226278,8,1,popular
50465292,8,2,popular
34228786,9,2,popular
44231619,9,1,popular
34862949,10,2,popular
53862838,12,1,popular
35714683,12,4,popular
20822053,13,7,popular
34255329,14,3,popular
41861449,18,9,popular
9355690,24,1,popular
44823064,37,1,popular
50772230,41,2,popular
31712046,84,1,popular
